epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,11171.1,0.84599,2.69992,0.23985,0.43002,0.01463,1.7367,0.97073,0.97214,0.98993,0.86514,0.8756,0.84227,0.83922,0.70206,0.6022,1.63302,0.06621,0.23714,0.01316,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11516.8,0.84762,2.6671,0.23919,0.42516,0.01471,1.70116,0.97028,0.97056,0.98989,0.8644,0.87817,0.84631,0.85029,0.70902,0.59637,1.58082,0.06892,0.23812,0.01305,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11861.6,0.84611,2.64055,0.23847,0.42776,0.01468,1.68109,0.96777,0.97489,0.98995,0.86596,0.87031,0.85861,0.85213,0.71131,0.59339,1.55146,0.06725,0.23498,0.01298,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12204.7,0.84086,2.61717,0.23735,0.41614,0.01467,1.6703,0.97133,0.97159,0.99029,0.86759,0.88217,0.85753,0.85424,0.71468,0.59176,1.53736,0.06571,0.229,0.01289,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12548.7,0.83437,2.58294,0.23497,0.4112,0.01449,1.60623,0.97035,0.97553,0.99079,0.87068,0.87948,0.86135,0.86091,0.71526,0.58574,1.5459,0.06566,0.2213,0.01274,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12896,0.83069,2.54505,0.23384,0.40743,0.01432,1.48769,0.97024,0.97646,0.99091,0.87074,0.87708,0.86109,0.8524,0.71545,0.58421,1.53236,0.0638,0.22145,0.01278,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13240.4,0.82622,2.54567,0.23338,0.40808,0.01426,1.48047,0.97312,0.97363,0.99115,0.87291,0.88532,0.85549,0.85454,0.72091,0.57912,1.52385,0.06349,0.21794,0.0126,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13584.7,0.82582,2.53327,0.23194,0.40739,0.01426,1.48999,0.97702,0.96891,0.99122,0.87404,0.89359,0.86042,0.86695,0.72644,0.57503,1.48109,0.06262,0.21745,0.01245,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13929.1,0.81998,2.49397,0.23037,0.40234,0.01409,1.37797,0.97203,0.97222,0.99076,0.87429,0.88489,0.86734,0.86747,0.7279,0.57215,1.47699,0.0627,0.21875,0.01238,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14272.5,0.81552,2.47683,0.22988,0.3967,0.01414,1.34332,0.97245,0.97298,0.99062,0.87431,0.89475,0.87106,0.8753,0.73178,0.57002,1.45646,0.063,0.21609,0.01235,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14614.6,0.81263,2.44383,0.23085,0.39332,0.01396,1.29228,0.97189,0.97391,0.99039,0.87401,0.89239,0.87289,0.87574,0.73174,0.57061,1.44829,0.06299,0.21974,0.01236,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14956,0.81122,2.45398,0.22991,0.39489,0.01395,1.30072,0.97349,0.97439,0.99045,0.87554,0.89172,0.87779,0.87685,0.73367,0.5652,1.433,0.06207,0.21939,0.01221,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15300.1,0.80657,2.42374,0.2287,0.38451,0.01388,1.22054,0.97297,0.97246,0.99,0.87545,0.89122,0.8783,0.87636,0.73278,0.56184,1.42562,0.06133,0.22027,0.01212,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15641.5,0.80514,2.39471,0.22669,0.39341,0.01384,1.21548,0.97621,0.97264,0.99032,0.87659,0.89505,0.87842,0.87753,0.73554,0.56008,1.41271,0.06163,0.21594,0.01211,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15986.5,0.7966,2.37496,0.22728,0.39246,0.01374,1.16119,0.97465,0.97528,0.99042,0.87824,0.90183,0.87702,0.8782,0.73668,0.55821,1.40199,0.06163,0.21529,0.01207,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16334,0.79535,2.38538,0.22533,0.39409,0.0137,1.19006,0.97537,0.97416,0.99075,0.87875,0.89649,0.88416,0.88446,0.73874,0.55718,1.40181,0.06055,0.21633,0.01205,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16681.3,0.79674,2.35801,0.22417,0.3885,0.01367,1.13275,0.97651,0.97476,0.99075,0.87839,0.90161,0.88049,0.88491,0.73971,0.55621,1.39482,0.05974,0.21437,0.01203,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17027.1,0.79776,2.35571,0.22376,0.38686,0.01372,1.15965,0.97617,0.97609,0.99098,0.87854,0.90525,0.88153,0.88735,0.74203,0.55589,1.38795,0.05953,0.21129,0.01203,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17374.6,0.78564,2.30718,0.22185,0.37598,0.01343,1.01602,0.97487,0.97394,0.99087,0.88021,0.90576,0.88308,0.8882,0.74266,0.55351,1.38037,0.05882,0.21302,0.01198,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17724.8,0.78446,2.30182,0.21902,0.37866,0.01341,1.05172,0.97739,0.97524,0.99112,0.88069,0.90609,0.88327,0.88793,0.74365,0.55169,1.37616,0.05844,0.21108,0.01193,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18071,0.78713,2.28893,0.2187,0.37905,0.0134,0.98604,0.97505,0.97624,0.99105,0.88123,0.90959,0.88208,0.88852,0.74488,0.55004,1.37183,0.05836,0.21134,0.0119,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18418.1,0.78049,2.28159,0.21812,0.3683,0.01331,0.99447,0.97516,0.97537,0.99106,0.88096,0.90902,0.88276,0.88885,0.74567,0.54923,1.36379,0.05798,0.21063,0.01187,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,18766.9,0.77186,2.2351,0.21559,0.36582,0.01319,0.97342,0.97505,0.97528,0.99102,0.8818,0.90955,0.88314,0.88881,0.74598,0.54767,1.3608,0.05774,0.21074,0.01184,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19118.6,0.76715,2.22295,0.21579,0.36523,0.0131,0.88,0.97651,0.97566,0.99119,0.8822,0.91097,0.88283,0.88933,0.74789,0.54721,1.35542,0.05738,0.20826,0.01184,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19466.2,0.77278,2.23449,0.21365,0.36829,0.01322,0.93334,0.97693,0.97439,0.99121,0.88245,0.9126,0.88365,0.88988,0.74859,0.54646,1.34869,0.05697,0.20774,0.01182,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,19812.8,0.76725,2.21007,0.21157,0.36492,0.01309,0.86979,0.97784,0.97591,0.99135,0.88294,0.91191,0.88467,0.89025,0.75079,0.54547,1.34461,0.05653,0.20655,0.0118,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20157.6,0.76357,2.21747,0.21413,0.36718,0.01302,0.86469,0.97904,0.97477,0.99137,0.88308,0.91017,0.88722,0.89037,0.75107,0.54529,1.34115,0.05643,0.20566,0.01179,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20504.1,0.75911,2.16443,0.2125,0.35705,0.01283,0.78847,0.97957,0.97515,0.99141,0.88349,0.91151,0.88606,0.8906,0.7519,0.54503,1.33853,0.05619,0.20525,0.01178,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20851.9,0.75927,2.17238,0.21304,0.36323,0.01286,0.86603,0.97802,0.9754,0.99124,0.88326,0.90902,0.88747,0.89009,0.75052,0.54466,1.33944,0.05604,0.20568,0.01178,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21198.7,0.75074,2.15496,0.21001,0.35459,0.01271,0.77862,0.97866,0.97528,0.99139,0.88359,0.91005,0.88722,0.89053,0.75196,0.54404,1.33638,0.05573,0.20398,0.01176,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,21549.2,0.74623,2.12355,0.20899,0.34781,0.01269,0.78109,0.97972,0.97477,0.99134,0.88311,0.91154,0.88774,0.89065,0.75208,0.5436,1.33237,0.05561,0.20419,0.01174,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21895.2,0.75294,2.11491,0.20804,0.356,0.01283,0.77326,0.97765,0.97681,0.99162,0.88423,0.91239,0.8892,0.89101,0.7527,0.54328,1.32804,0.05544,0.20295,0.01173,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22242.6,0.74485,2.10545,0.20516,0.3541,0.01268,0.75574,0.97855,0.97591,0.99157,0.8845,0.91177,0.88888,0.89086,0.7532,0.54306,1.32565,0.05531,0.20316,0.01173,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22592.7,0.74304,2.10004,0.2047,0.35223,0.01259,0.72862,0.9768,0.97661,0.99122,0.88427,0.91133,0.88932,0.89029,0.75232,0.54249,1.32356,0.05512,0.20377,0.01172,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,22943.4,0.73992,2.08116,0.20377,0.35199,0.01256,0.6733,0.97725,0.97693,0.99128,0.88453,0.91132,0.88921,0.89075,0.75419,0.54123,1.32031,0.05494,0.20393,0.01168,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23291.3,0.73115,2.06162,0.20465,0.34465,0.01229,0.6583,0.97755,0.97662,0.99121,0.88468,0.91457,0.8881,0.89596,0.75705,0.54047,1.31778,0.05473,0.20293,0.01167,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,23636.7,0.73065,2.04876,0.20343,0.34261,0.01238,0.63785,0.97596,0.97771,0.99123,0.88488,0.91382,0.88779,0.89082,0.75672,0.53946,1.31418,0.05447,0.20376,0.01164,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23982.7,0.73077,2.04654,0.20277,0.34694,0.01239,0.67542,0.97728,0.97834,0.99132,0.88504,0.91427,0.88875,0.89089,0.757,0.53886,1.31139,0.05421,0.20286,0.01162,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24330,0.72181,2.00664,0.19984,0.3404,0.01222,0.60387,0.97894,0.97718,0.99142,0.88533,0.91414,0.88868,0.89103,0.75748,0.53808,1.30873,0.05413,0.20212,0.01161,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24677.6,0.72204,1.99546,0.19915,0.3339,0.01216,0.5465,0.97908,0.97833,0.9915,0.88559,0.91514,0.88989,0.89702,0.75896,0.53777,1.30638,0.05385,0.2013,0.0116,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25024.3,0.71386,1.98979,0.19866,0.33321,0.012,0.54772,0.97793,0.97795,0.99148,0.88577,0.91448,0.88951,0.89671,0.75904,0.53658,1.30425,0.05356,0.20111,0.01157,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25372.6,0.71373,1.9572,0.19851,0.32431,0.01204,0.53563,0.97796,0.97831,0.99143,0.88581,0.91406,0.89189,0.89825,0.75975,0.53604,1.30043,0.05334,0.2014,0.01156,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25721.2,0.71326,1.96739,0.19626,0.32722,0.01203,0.54719,0.97771,0.97809,0.99144,0.88624,0.91397,0.89217,0.89877,0.76015,0.53486,1.29639,0.05311,0.20062,0.01153,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,26068.9,0.70959,1.94695,0.19644,0.32685,0.01205,0.52985,0.97858,0.97821,0.99143,0.88624,0.91394,0.89322,0.89934,0.76031,0.53434,1.2931,0.05291,0.20053,0.01152,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26415.4,0.70566,1.92145,0.19305,0.32727,0.01185,0.47761,0.97845,0.97766,0.99143,0.88648,0.91401,0.89372,0.89949,0.76058,0.53425,1.2895,0.05275,0.20021,0.01152,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,26764.3,0.69968,1.91084,0.19442,0.32077,0.01183,0.50169,0.97819,0.97758,0.99141,0.88647,0.91522,0.89423,0.89984,0.76098,0.53406,1.28738,0.05248,0.19913,0.01152,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,27111.2,0.70178,1.88915,0.1915,0.328,0.01174,0.44385,0.9777,0.97767,0.99141,0.88699,0.91588,0.89397,0.89979,0.76156,0.53334,1.28436,0.05216,0.19894,0.0115,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,27459,0.70165,1.90273,0.19143,0.32217,0.01185,0.48508,0.97757,0.97846,0.99142,0.88722,0.9163,0.89423,0.89994,0.76183,0.53261,1.28135,0.052,0.19827,0.01148,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,27805.5,0.69159,1.88329,0.19042,0.31987,0.01161,0.42946,0.9777,0.97797,0.99139,0.88751,0.91615,0.89391,0.90005,0.76199,0.53164,1.27811,0.05176,0.19806,0.01146,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28153.8,0.68845,1.84257,0.18888,0.31961,0.01152,0.4126,0.97794,0.97834,0.99138,0.88751,0.91671,0.89334,0.90009,0.76225,0.5308,1.27508,0.05153,0.19749,0.01144,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,28502.7,0.68858,1.85553,0.18895,0.32079,0.01155,0.40994,0.97808,0.97821,0.99147,0.88817,0.91574,0.89474,0.9003,0.76312,0.53051,1.27314,0.05127,0.19734,0.01144,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,28849.2,0.68286,1.82178,0.18771,0.31475,0.01143,0.39944,0.97885,0.97907,0.99131,0.88825,0.9147,0.89537,0.90064,0.76332,0.52955,1.2706,0.05105,0.19676,0.01141,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,29196.2,0.68029,1.82236,0.18725,0.31789,0.01137,0.38038,0.97864,0.9777,0.99141,0.88839,0.91781,0.89423,0.9009,0.76439,0.5286,1.26801,0.05087,0.1965,0.01139,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,29544.6,0.68226,1.8339,0.1857,0.31714,0.01143,0.37491,0.97783,0.97923,0.99149,0.88861,0.91595,0.89581,0.90112,0.76479,0.52793,1.2657,0.05061,0.19561,0.01137,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,29891.8,0.67551,1.79088,0.18349,0.30804,0.0113,0.34171,0.97687,0.9791,0.99144,0.8885,0.91609,0.89512,0.90109,0.76482,0.52728,1.26299,0.05039,0.19642,0.01136,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,30239.7,0.66771,1.75368,0.18188,0.30712,0.01116,0.31646,0.97959,0.97875,0.99149,0.888,0.9162,0.8959,0.9014,0.76553,0.52686,1.26124,0.05016,0.19582,0.01135,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,30585.1,0.66713,1.76542,0.17948,0.30941,0.01108,0.30558,0.97935,0.9789,0.99156,0.88887,0.91787,0.89563,0.9014,0.76659,0.52589,1.25822,0.04992,0.19492,0.01133,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,30930.5,0.6579,1.73657,0.18169,0.30306,0.01094,0.28546,0.97862,0.97999,0.99164,0.88898,0.91694,0.89665,0.90149,0.76805,0.52578,1.25595,0.04958,0.19361,0.01132,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
